id,n,density,runtime_exact,runtime_mcmc,err_approx_exp_lpom,err_approx_exp_glpom,err_approx_exp_loof1,err_approx_exp_loof2,err_approx_exp_mcmc,err_approx_rel_it1,err_approx_rel_it5,err_approx_rel_it10,err_approx_rel_it15,err_approx_rel_mcmc,rtime_approx_exp_lpom,rtime_approx_exp_glpom,rtime_approx_exp_loof1,rtime_approx_exp_loof2,rtime_approx_rel_it1,rtime_approx_rel_it5,rtime_approx_rel_it10,rtime_approx_rel_it15,dgraph6
1,10,0.911111111111111,0.01099999999999568,0.045000000000015916,0.29333333333333345,0,0,0,0.0755688353629695,0,0,0,0,0.00781741462336305,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0,0.0010000000000047748,&IF{^p~B{FoN?[?O@??
2,10,0.13333333333333333,0.012000000000000455,0.10400000000001342,0.3096296296296298,0.17129629629629656,0.16681318681318627,0.12998297261098038,0.1808818080192586,0.289091168091168,0.04920750527165024,0.025401013646230295,0.02207234228067308,0.025697113829171215,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0.0010000000000047748,0,&IC_@_G??A?????????
3,10,0.08888888888888889,0.01099999999999568,0.10300000000000864,0.09166666666666683,0.05833333333333353,0.12047619047619125,0.13002354043593786,0.2964018892669403,0.26061904761904753,0.06262181922418276,0.023802479192537345,0.019632564692354693,0.03907507869176684,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0020000000000095497,0,0,0.0010000000000047748,0,&I????CA???B???????
4,10,0.13333333333333333,0.01099999999999568,0.10200000000000387,0.2179629629629634,0.11296296296296356,0.1529629629629631,0.15476944692183664,0.11433098664619176,0.28540211640211643,0.06443116193138006,0.033607742184445025,0.02949752367430482,0.019531833244450313,0.0010000000000047748,0,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&IA?G?@AG????O?????
5,10,0.9777777777777779,0.010000000000019327,0.019000000000005457,0.019999999999999928,0,0,0,0.0390474737389412,0,0,0,0,0.0039047473738942863,0.0010000000000047748,0.0010000000000047748,0,0.0010000000000047748,0,0,0,0,&I^{~p~@{FoN?[?o@??
6,10,0.7333333333333333,0.010000000000019327,0.07799999999997453,0.5744841269841269,0.04500000000000011,0.10645530939648595,0.10844707915579432,0.05304347450106206,0.08061944969375309,0.021527575188036895,0.02144011353734656,0.02144088539558036,0.007506313575598007,0.0010000000000047748,9.999999999763531e-4,0.0010000000000047748,0.0010000000000047748,0,0,0.0010000000000047748,0,&IF{~p~A{?_J?C?O???
7,10,0.7111111111111111,0.01099999999999568,0.07900000000000773,0.4751379617267467,0.08503115264797478,0.1293481197447211,0.11930650644506868,0.04070567592231748,0.09624523129755348,0.023308861417231944,0.023236278233889775,0.023233802781299814,0.007304902891950722,0.0010000000000047748,0,0.0010000000000047748,9.999999999763531e-4,0,0,0,9.999999999763531e-4,&I^{Np~Ak?_J?G?O???
8,10,0.6888888888888889,0.009999999999990905,0.07400000000001228,0.18729715574893252,0.08994923857868042,0.1744952058657645,0.15676898987673718,0.09054802300190853,0.09349415637943558,0.024567576686709214,0.024256995045677403,0.024253264703915076,0.013453838746201426,0.0010000000000047748,0,0.0010000000000047748,0.0010000000000047748,0,0.0010000000000047748,0,0.0010000000000047748,&I^{\pZ?C@oB?K?o@??
9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,&I^{~p~B{FoN?[?o@??
10,10,0.8888888888888888,0.01099999999999568,0.0519999999999925,0.25500000000000006,0,0.048214285714285765,0.033373276700934616,0.04098086966630614,0.016011904761904762,0.005368772839158263,0.005350263679029151,0.005350074296589975,0.004983720665656586,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,9.999999999763531e-4,0,0,0,&IN{~o~B{FoL?S?O@??
11,10,0.7333333333333333,0.01099999999999568,0.06700000000000728,0.5063888888888892,0.10892857142857167,0.10613636363636356,0.08458168791197736,0.04933705342956061,0.09407983682983684,0.021180332380997965,0.01823544352874408,0.0179522455752409,0.008765982393612561,0.0020000000000095497,0,0.0010000000000047748,9.999999999763531e-4,0,0,0,0,&IJw^o}B{F_M?W?????
12,10,0.022222222222222223,0.014999999999986358,0.125,1.5099033134902129e-15,1.6431300764452318e-15,9.325873406851315e-16,1.8207657603852566e-15,0.1586078108498714,0.1066666666666671,0.029841313207203922,0.006071618004071461,0.0012353526445503039,0.021495590950281078,0,0.0010000000000047748,0.0010000000000047748,9.999999999763531e-4,0,0,0,0,&I?O???????????????
13,10,0.7555555555555555,0.009999999999990905,0.0660000000000025,0.39968253968253975,0.03103174603174601,0.15640420699843466,0.09970584895549912,0.15345338743876377,0.06813499004925151,0.012999904985450783,0.012616396637535178,0.012587410441827545,0.017126216038485846,0.0010000000000047748,9.999999999763531e-4,0.0010000000000047748,0.001999999999981128,0,0,0.0010000000000047748,0.0010000000000047748,&IN{~o~?[??N?[?o???
14,10,0.8888888888888888,0.009999999999990905,0.042999999999977945,0.22527777777777766,0,0.0660474716202271,0.05135094783230212,0.11323255495576783,0.025281217750257996,0.008845582145219346,0.0088396141032497,0.008839673005857411,0.012795781902760801,0.0010000000000047748,0,0.0010000000000047748,0.0010000000000047748,0,0,0.0010000000000047748,9.999999999763531e-4,&IF{~p~B{EoJ?K?o@??
15,10,0.9555555555555555,0.009999999999990905,0.031999999999982265,0.1200000000000001,0,0,0,0.052130829404344235,0,0,0,0,0.00521308294043544,0,0,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&I^{^p~B{FoN?[?O@??
16,10,0.7777777777777778,0.010000000000019327,0.04999999999998295,0.3186507936507935,0.0625,0.10473443223443253,0.05355254102274785,0.1453788784734318,0.06771703296703298,0.013565928507875791,0.011673564165338926,0.011487632264739332,0.015113590504335346,0.0010000000000047748,0,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&IV{^oHB{FoN?C?O@??
17,10,0.8666666666666667,0.009999999999990905,0.04800000000000182,0.3722222222222226,4.4408920985006264e-17,0.08173913043478272,0.08482436539819145,0.116865372081294,0.030492753623188425,0.010660784379311743,0.010607521205756264,0.010607479209233437,0.011686537208128718,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&I^{^o~B{FoN?O??@??
18,10,0.8888888888888888,0.009999999999990905,0.056000000000011596,0.27333333333333343,0.020000000000000018,0.02086956521739127,0.027621262496387987,0.07056422284053995,0.016501278772378516,0.004181987211996404,0.004212822305634639,0.0042135364406818985,0.0086634606971129,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&I^{^p~@{FoN?C?o???
19,10,0.3111111111111111,0.009999999999990905,0.08700000000001751,0.41249999999999987,0.11249999999999986,0.2775000000000002,0.22416045189740555,0.1358353195090766,0.219,0.019929329995276635,0.011096514727409823,0.00968831219859882,0.01686007135920703,0.0010000000000047748,0,9.999999999763531e-4,0.0010000000000047748,0,0.0010000000000047748,0,0,&I??@ODAsBO??S?O???
20,10,0.9555555555555555,0.009999999999990905,0.02400000000000091,0.1055555555555558,8.881784197001253e-17,0.026666666666666748,0.021907870874138702,0.04590421553474533,0.009333333333333332,0.00406517839490249,0.0040648578945599164,0.0040648607560158975,0.008793160211416316,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&I^{~p~B{FoN?K?O@??
21,10,0.044444444444444446,0.012000000000000455,0.10500000000001819,7.105427357601002e-16,6.217248937900876e-16,0.013333333333333464,0.02236180859053354,0.12145614950338554,0.18533333333333346,0.05164498948967375,0.013490188774332564,0.007462812618056418,0.017859045964237506,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0.0010000000000047748,&I??????OA?????????
22,10,0.8888888888888888,0.01099999999999568,0.0619999999999834,0.2666666666666666,0,0,0,0.03583902383778263,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,0.003929560625132611,9.999999999763531e-4,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,9.999999999763531e-4,0.0010000000000047748,0,&I^{No~B{FoF?[?o???
23,10,0.911111111111111,0.012000000000000455,0.03499999999999659,0.08888888888888893,1.7763568394002506e-16,0.0871794871794874,0.0876395892622364,0.08909518969225401,0.017948717948717965,0.008784105666722473,0.00877412241958864,0.008774120484581392,0.011094971021733208,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,&I^{~p~B{@oJ?K?o@??
24,10,0.13333333333333333,0.009999999999990905,0.11600000000001387,0.21633333333333366,0.1330000000000006,0.11857142857142891,0.12762203436992112,0.1726835644829284,0.2906761904761905,0.05941215842585283,0.031089285973625935,0.028169300010231987,0.024693871486970772,9.999999999763531e-4,0,0.0010000000000047748,0.0010000000000047748,0,0,9.999999999763531e-4,0.0010000000000047748,&I@O_??AG????O?????
25,10,0.7777777777777778,0.01300000000000523,0.0800000000000125,0.610555555555556,0.053571428571428645,0.08387085137085126,0.094880994849827,0.05272393928197949,0.05305829301417537,0.014893697505662268,0.014774437900679583,0.014774124480341858,0.008292136975497945,0.0020000000000095497,0.0010000000000047748,0.0010000000000047748,0.0010000000000047748,0,0,0,0,&IB{^o~@{FoL?S??@??
26,10,0.8222222222222223,0.009999999999990905,0.046999999999997044,0.28527777777777796,0.03910256410256423,0.12487707487707489,0.07676386873671345,0.06307748834940749,0.055772652841618364,0.014600755458821042,0.013955546605420859,0.01391949209542429,0.00886226582182387,0,0,0.0010000000000047748,0.0010000000000047748,0,0.0010000000000047748,0,0,&I^{~p~@[FOD?S?O???
27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,&I^{~p~B{FoN?[?o@??
28,10,0.8888888888888888,0.009999999999990905,0.046999999999997044,0.30277777777777776,0.02857142857142856,0.052759740259740215,0.04623045156205998,0.05223295744825214,0.021502737458619813,0.006940364619749148,0.00680097687669244,0.006797492822222681,0.006657655716398822,0.0010000000000047748,0.0010000000000047748,9.999999999763531e-4,0.0010000000000047748,0,0,0,0.0010000000000047748,&IN{^o^B{FoN?[?o???
29,10,0.15555555555555556,0.01099999999999568,0.09899999999998954,0.20166666666666672,0.11999999999999988,0.1446825396825397,0.14280908818695986,0.20730423219668462,0.2899999999999999,0.053869453387349164,0.02951995003423478,0.027171158049026544,0.0256192527986857,0.0010000000000047748,0,0.0010000000000047748,0.0010000000000047748,9.999999999763531e-4,0.0010000000000047748,0,0,&IGg?oA??@?????????
30,10,0.8,0.012000000000000455,0.06900000000001683,0.380297619047619,0.04437499999999996,0.07809586247086249,0.06299360325611598,0.05415880469586014,0.061214988958410016,0.016734792239693798,0.016713107092689163,0.016712461213423707,0.00860886684901978,0.0020000000000095497,9.999999999763531e-4,0.0010000000000047748,0.0020000000000095497,0,0.0010000000000047748,0,0,&I^{^p^@kFoJ???O@??
31,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,&I^{~p~B{FoN?[?o@??
32,10,0.6888888888888889,0.01500000000001478,0.08299999999999841,0.2775547345374931,0.09764367816091932,0.10531347962382435,0.11717959997269774,0.14939938387527918,0.10910102485737695,0.025955564563373702,0.025550547662872354,0.02553990936503025,0.015911717879772084,0.0010000000000047748,9.999999999763531e-4,0.0010000000000047748,9.999999999763531e-4,0,0,0,0,&IN{ZoVA{?OD?[?O@??
